Activity,Activity Type,Economy,Economy Name,Economy_List,Economy_Single,Engagement,Engagement ID,Engagement ID_List,Engagement_ID_Single,Fiscal Year,Last Updated,Organization Type,Title,Workshop_List,Workshop_Single,Workstream,Workstream Name,Workstream_List,Workstream_Single
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recFP7aVLHJqg8tD3,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recz5Z5ye4y7sFYGo,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2026 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recFP7aVLHJqg8tD3,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2026 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recz5Z5ye4y7sFYGo,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2026 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recFP7aVLHJqg8tD3,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recz5Z5ye4y7sFYGo,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,Digital Trade
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,ICT Resilience
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recFP7aVLHJqg8tD3,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,ICT Resilience
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recz5Z5ye4y7sFYGo,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2025 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,ICT Resilience
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2026 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,ICT Resilience
"['recBv3srg4hSTNsTM', 'recr14GoTC2U3qaxP', 'recMdbq0IDZz3CmL4', 'recvSSHevvWPPiWik']","['Policy Dialogue', 'Policy Dialogue', 'Technical Workshop', 'Technical Report']",['reci4ErOAxmFqyIcC'],['Other'],,,"['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']","['recEQoIBeNaGiEj6E', 'recFP7aVLHJqg8tD3', 'recz5Z5ye4y7sFYGo']",recEQoIBeNaGiEj6E|recFP7aVLHJqg8tD3|recz5Z5ye4y7sFYGo,recFP7aVLHJqg8tD3,"['FY25', 'FY26']",2026-09-05T11:01:51.395982,Private Sector,Access Partnership,2025 Digital Trade Policy Dialogue|2026 Digital Trade Policy Dialogue|APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,2026 Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recMYlDQrEsskrAA7']","['Digital Trade', 'ICT Resilience']",Digital Trade|ICT Resilience,ICT Resilience
