Workshop,Workshop Date,Workstream,Economy,Organization,Source Table,Workshop Key
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Advancing Cloud Transformation,2025-07-30,recO6Wye9q46CaYxb,Thailand,NBTC,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-30
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Malaysia,MyDIGITAL Corporation (Ministry of Digital),OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,AWS,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Thailand,"Department of Trade Negotiations, Ministry of Commerce",OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Canada,Global Affairs Canada,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,"Hong Kong, China",Trade and Industry Department,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Chile,SUBREI Chile,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Republic of Korea,Ministry of Science and ICT,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Thailand,TISI,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Chinese Taipei,"International Trade Adminastration,MOEA",OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
