Fiscal Year,Fiscal Quarter,Workshop,Economy,City,Person-Hours
FY25,FY2025-Q4,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Unknown,Incheon,484.0
FY25,FY2025-Q4,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,Unknown,Incheon,86.411
FY25,FY2025-Q4,APEC Workshop on Services Technical Standards Development: The Process and Impact,Unknown,Incheon,97.5
FY25,FY2025-Q4,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,Incheon,799.1666669
FY25,FY2025-Q4,Workshop on Advancing Cloud Transformation,Unknown,Incheon,81.0
FY25,FY2025-Q4,Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,Unknown,Incheon,99.0
FY25,FY2025-Q4,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,Incheon,100.8333333
FY26,FY2026-Q3,APEC Regional Dialogue: Cyber-Resilient Intelligent Transportation Systems,Unknown,Bangkok,320.1
FY26,FY2026-Q3,"APEC Workshop: Advancing Workforce Productivity and Prosperity Through AI-Driven, Pro-Growth Policies",Unknown,Taipei City,618.51
FY26,FY2026-Q3,OFWG Workshop on Launch for Ocean Tech Solutions,Unknown,Dalian,0.0
FY26,FY2026-Q4,APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,Unknown,Chengdu,232.75
FY26,FY2026-Q4,OFWG Workshop on Launch for Ocean Tech Solutions,Unknown,Dalian,104.72
Unknown,FY2026-Q3,Unknown,Unknown,Unknown,0.0
