Assumption,Monitoring Tool,Economy,Workstream,Level,Date,Signal,Status,Confidence Index 1 (Percent),Confidence Index 2 (Count),Notes
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),All,Aggregate,2025-08-09,Average 12.6 economies represented (last 5 workshops/dialogues),optimistic,60.0,13,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),Digital Trade,Workstream,2025-08-06,Average 15.0 economies represented (last 5 Digital Trade workshops/dialogues),optimistic,71.4,15,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,Digital Trade,Economy,2025-08-06,Australia attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Brunei Darussalam,Digital Trade,Economy,2025-08-06,Brunei Darussalam attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,Digital Trade,Economy,2025-08-06,Canada attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,Digital Trade,Economy,2025-08-06,Chile attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,Digital Trade,Economy,2025-08-06,Chinese Taipei attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,Digital Trade,Economy,2025-08-06,Japan attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,Digital Trade,Economy,2025-08-06,Malaysia attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,Digital Trade,Economy,2025-08-06,Other attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,Digital Trade,Economy,2025-08-06,Papua New Guinea attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,People's Republic of China,Digital Trade,Economy,2025-08-06,People's Republic of China attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,Digital Trade,Economy,2025-08-06,Republic of Korea attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Russia,Digital Trade,Economy,2025-08-06,Russia attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,Digital Trade,Economy,2025-08-06,Singapore attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,Digital Trade,Economy,2025-08-06,The Philippines attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,Digital Trade,Economy,2025-08-06,United States of America attended 1/5 Digital Trade workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),Supply Chain Connectivity,Workstream,2025-08-02,Average 9.0 economies represented (last 5 Supply Chain Connectivity workshops/dialogues),baseline,42.9,9,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,Supply Chain Connectivity,Economy,2025-08-02,Canada attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,Supply Chain Connectivity,Economy,2025-08-02,Chile attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,Supply Chain Connectivity,Economy,2025-08-02,Chinese Taipei attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,Supply Chain Connectivity,Economy,2025-08-02,Japan attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,Supply Chain Connectivity,Economy,2025-08-02,Malaysia attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,Supply Chain Connectivity,Economy,2025-08-02,Other attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Peru,Supply Chain Connectivity,Economy,2025-08-02,Peru attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,Supply Chain Connectivity,Economy,2025-08-02,Republic of Korea attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,Supply Chain Connectivity,Economy,2025-08-02,United States of America attended 1/5 Supply Chain Connectivity workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),rec8X4hhBa5cOnk18,Workstream,2025-07-31,Average 8.0 economies represented (last 5 rec8X4hhBa5cOnk18 workshops/dialogues),baseline,38.1,8,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,rec8X4hhBa5cOnk18,Economy,2025-07-31,Australia attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,rec8X4hhBa5cOnk18,Economy,2025-07-31,Chinese Taipei attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,rec8X4hhBa5cOnk18,Economy,2025-07-31,Malaysia attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,rec8X4hhBa5cOnk18,Economy,2025-07-31,Papua New Guinea attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
