Firm (Name),Indicator ID,Workstream (Name),Economy (Name),Engagement,Fiscal Year,U.S. FAOs Addressed,PSE Modality,Resource (Amount),Export Timestamp
nan,OT2,Digital Standards,Republic of Korea,Workshop on Digital Standards: Shaping the Future of Standardization,FY25,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,TBT,Republic of Korea,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,FY25,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,Cloud & AI Adoption,Republic of Korea,Workshop on Advancing Cloud Transformation,FY25,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,ROO,Republic of Korea,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,FY25,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,Supply Chains,Republic of Korea,APEC 17th A2C2 Meeting,FY25,Economic Growth (Other),Policy dialogue,,2026-08-23T07:25:35.029330
nan,OT2,Services,Republic of Korea,APEC Workshop on Services Technical Standards Development: The Process and Impact,FY25,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,Digital Trade,Republic of Korea,2025 Digital Trade Policy Dialogue,FY25,Economic Growth (Other),Policy dialogue,,2026-08-23T07:25:35.029330
nan,OT2,GRP,Republic of Korea,APEC 18th GRP Conference,FY25,Economic Growth (Other),Policy dialogue,,2026-08-23T07:25:35.029330
nan,OT2,Supply Chains,Mexico,APEC A2C2 Regional Roundtable,FY26,Economic Growth (Other),Policy dialogue,,2026-08-23T07:25:35.029330
nan,OT2,Digital Trade,Mexico,2026 Digital Trade Policy Dialogue,FY26,Economic Growth (Other),Policy dialogue,,2026-08-23T07:25:35.029330
nan,OT2,Cyber‑Resilient ITS,Thailand,APEC Regional Dialogue: Cyber-Resilient Intelligent Transportation Systems,FY26,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,AI Workforce Development,Chinese Taipei,"APEC Workshop: Advancing Workforce Productivity and Prosperity Through AI-Driven, Pro-Growth Policies",FY26,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
nan,OT2,ICT Resilience,People’s Republic of China,APEC Workshop: Strengthening ICT Resilience with Low Earth Orbit Satellites,FY26,Economic Growth (Other),Knowledge and information sharing,,2026-08-23T07:25:35.029330
